DATAFLOW,LAST UPDATE,freq,s_adj,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Germany,2025-02,686,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Germany,2025-03,691,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Germany,2025-04,694,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Germany,2025-05,696,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Germany,2025-06,695,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Germany,2025-07,695,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Germany,2025-08,694,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Denmark,2024-10,105,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Denmark,2024-11,106,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Denmark,2024-12,110,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Denmark,2025-01,107,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Denmark,2025-02,99,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Denmark,2025-03,106,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Denmark,2025-04,104,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Denmark,2025-05,86,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Denmark,2025-06,94,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Denmark,2025-07,92,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Denmark,2025-08,96,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Euro area – 20 countries (from 2023),2024-10,5213,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Euro area – 20 countries (from 2023),2024-11,5180,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Euro area – 20 countries (from 2023),2024-12,5247,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Euro area – 20 countries (from 2023),2025-01,5309,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Euro area – 20 countries (from 2023),2025-02,5333,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Euro area – 20 countries (from 2023),2025-03,5350,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Euro area – 20 countries (from 2023),2025-04,5300,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Euro area – 20 countries (from 2023),2025-05,5302,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Euro area – 20 countries (from 2023),2025-06,5286,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Euro area – 20 countries (from 2023),2025-07,5200,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Euro area – 20 countries (from 2023),2025-08,5190,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Estonia,2024-10,27,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Estonia,2024-11,27,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Estonia,2024-12,27,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Estonia,2025-01,28,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Estonia,2025-02,31,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Estonia,2025-03,29,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Estonia,2025-04,28,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Estonia,2025-05,27,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Estonia,2025-06,28,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Estonia,2025-07,27,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Estonia,2025-08,27,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Greece,2024-10,257,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Greece,2024-11,263,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Greece,2024-12,247,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Greece,2025-01,249,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Greece,2025-02,249,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Greece,2025-03,248,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Greece,2025-04,233,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Greece,2025-05,223,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Greece,2025-06,230,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Greece,2025-07,225,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Greece,2025-08,225,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Spain,2024-10,1395,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Spain,2024-11,1384,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Spain,2024-12,1394,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Spain,2025-01,1406,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Spain,2025-02,1413,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Spain,2025-03,1420,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Spain,2025-04,1402,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Spain,2025-05,1393,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Spain,2025-06,1374,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Spain,2025-07,1364,,
