DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Estonia,2019,2.11,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Estonia,2020,1.87,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Estonia,2021,2.35,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Estonia,2022,1.55,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Estonia,2023,1.94,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Greece,2015,3.53,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Greece,2016,6.36,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Greece,2017,4.19,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Greece,2018,5.01,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Greece,2019,3.92,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Greece,2020,3.80,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Greece,2021,3.87,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Greece,2022,2.09,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Greece,2023,0.96,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Spain,2015,2.31,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Spain,2016,2.63,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Spain,2017,2.15,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Spain,2018,2.06,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Spain,2019,2.03,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Spain,2020,1.97,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Spain,2021,1.94,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Spain,2022,2.20,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Spain,2023,2.31,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,European Union - 27 countries (from 2020),2015,2.33,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,European Union - 27 countries (from 2020),2016,2.33,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,European Union - 27 countries (from 2020),2017,2.16,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,European Union - 27 countries (from 2020),2018,2.11,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,European Union - 27 countries (from 2020),2019,2.15,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,European Union - 27 countries (from 2020),2020,1.88,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,European Union - 27 countries (from 2020),2021,1.76,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,European Union - 27 countries (from 2020),2022,1.98,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,European Union - 27 countries (from 2020),2023,1.62,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,European Union - 28 countries (2013-2020),2015,2.18,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,European Union - 28 countries (2013-2020),2016,2.08,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,European Union - 28 countries (2013-2020),2017,1.99,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,European Union - 28 countries (2013-2020),2018,2.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,European Union - 28 countries (2013-2020),2019,2.06,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Finland,2015,0.90,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Finland,2016,0.46,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Finland,2017,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Finland,2018,0.51,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Finland,2019,0.35,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Finland,2020,0.93,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Finland,2021,1.33,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Finland,2022,1.50,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Finland,2023,1.13,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,France,2015,2.71,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,France,2016,1.71,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,France,2017,1.58,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,France,2018,1.59,p,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,France,2019,1.14,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,France,2020,0.61,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,France,2021,0.30,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,France,2022,0.54,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,France,2023,0.00,bdp,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Croatia,2015,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Croatia,2016,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Croatia,2017,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Croatia,2018,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Croatia,2019,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Croatia,2020,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Croatia,2021,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Croatia,2022,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Croatia,2023,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Hungary,2015,1.53,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Hungary,2016,1.73,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Hungary,2017,3.20,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Hungary,2018,2.71,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Hungary,2019,4.25,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Hungary,2020,4.35,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Hungary,2021,8.34,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Hungary,2022,6.91,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Hungary,2023,3.93,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Ireland,2015,0.00,d,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Ireland,2016,0.00,d,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Ireland,2017,0.00,d,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Ireland,2018,0.00,d,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Ireland,2019,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Ireland,2020,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Ireland,2021,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Ireland,2022,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Ireland,2023,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Iceland,2015,1.70,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Iceland,2016,0.58,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Iceland,2017,0.87,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Iceland,2018,0.51,,
